tid,court_type,court,date,numcitedby,numcites,topical,issues,matched_queries,title,headline
10239019,SC,Supreme Court of India,2013-11-12,18813,71,False,jurisdiction-145-154,sc_145_154,"Lalita Kumari vs Govt.Of U.P.& Ors on 12 November, 2013","<b>154</b>  of the Code of Criminal Procedure, 1973, in relation to       cognizable  offence  punishable  under  <b>Section</b>  326A,  <b>Section</b>  326B,       <b>Section</b> 354, <b>Section</b> "
1836621,SC,Supreme Court of India,2007-12-07,8229,24,False,jurisdiction-145-154,sc_145_154,"Sakiri Vasu vs State Of U.P. And Others on 7 December, 2007","under  <b>Section</b> <b>154</b>   Cr.P.C., then he can approach the Superintendent of Police under  <b>Section</b>  <b>154</b> ... officer in charge of the police station as  indicated in  <b>Section"
143800718,SC,Supreme Court of India,2017-01-06,1683,46,False,jurisdiction-145-154,sc_145_154,"The State Of Telangana vs Habib Abdullah Jeelani & Ors on 6 January, 2017","compass.  On the basis of a  report  by  the informant under  <b>Section</b> <b>154</b>  CrPC, FIR  No.  205/2014  dated  26.07.2014  was registered at Chandrayanagutta ... same”?  While  interpreting"
163299097,SC,Supreme Court of India,2015-03-19,1448,32,False,jurisdiction-145-154,sc_145_154,"Priyanka Srivastava & Anr vs State Of U.P.& Ors on 19 March, 2015",officer  in charge of the police station as indicated in <b>Section</b> <b>154</b> of the  Code.  Even if a Magistrate does ... launching an investigation under <b>Section</b> 157 of the  Code  are  h
55216283,SC,Supreme Court of India,2013-07-01,1216,38,True,126v135|appeal-127|assessment-126|mensrea-135,sc_127|sc_assess|sc_core|sc_theft,"U.P.Power Corporation Ltd. & Ors vs Anis Ahmad on 1 July, 2013","reading of  <b>Section</b> <b>126</b>  and  <b>Sections</b>  <b>135</b>   to   140 ,  it  is clear that while acts of &quot;unauthorized use of  <b>electricity</b>&quot;  attracts ... officer under  <"
1974324,SC,Supreme Court of India,2001-07-12,980,50,False,jurisdiction-145-154,sc_145_154,"T.T.Antony vs State Of Kerala & Ors on 12 July, 2001",police station in relation to that offence.    Sub-<b>section</b> (1) of  <b>Section</b> <b>154</b>  of Cr.P.C. contains four mandates to an officer ... relation to that offence. An information given 
1634320,SC,Supreme Court of India,2006-12-06,659,82,False,jurisdiction-145-154,sc_145_154,"Parkash Singh Badal And Anr vs State Of Punjab And Ors on 6 December, 2006","Parkash Singh Badal And Anr vs State Of Punjab And Ors on 6 December, 2006"
194959,SC,Supreme Court of India,1976-08-31,541,15,False,jurisdiction-145-154,sc_145_154,"Rabindra Kumar Dey vs State Of Orissa on 31 August, 1976",<b>Sec</b>. 5(2) --Misappropriating  Govt.  Funds--Re- 	taining	 Govt.	Funds  by  a  Govt.  servant-- Evidence	Act . 	<b>Sec</b>.  <b>154</b>--When can a witness ... drew adverse inference  for  his n
679149,SC,Supreme Court of India,1974-11-26,483,37,False,mensrea-135,sc_theft,"Khudiram Das vs The State Of West Bengal & Ors on 26 November, 1974","Khudiram Das vs The State Of West Bengal &amp; Ors on 26 November, 1974    Equivalent"
76417350,SC,Supreme Court of India,2014-09-04,482,113,False,mensrea-135,sc_theft,"State Of Nct Of Delhi vs Sanjay on 4 September, 2014","State Of Nct Of Delhi vs Sanjay on 4 September, 2014    Equivalent citations: AIR 2015"
1231443,SC,Supreme Court of India,1964-12-14,462,88,False,126v135,sc_core,"Corporation Of Calcutta And Another vs Liberty Cinema on 14 December, 1964","Corporation Of Calcutta And Another vs Liberty Cinema on 14 December, 1964    Equivalent citations: 1965"
132334,SC,Supreme Court of India,2011-10-12,389,102,False,126v135|compounding-152,sc_152|sc_core,"Girish Vyas And Anr vs State Of Maharashtra And Ors on 12 October, 2011","Girish Vyas And Anr vs State Of Maharashtra And Ors on 12 October, 2011    Equivalent"
916840,SC,Supreme Court of India,1975-09-29,369,34,False,jurisdiction-145-154,sc_145_154,"Sat Pal vs Delhi Administration on 29 September, 1975","searching way. [26 E-H; 27 F-28 B].      (b)  <b>Section</b>  <b>154</b>  speaks of permitting a party to put to his own	 witness questions ... under  s. 142 to put leading questions, or the	leave und"
34445368,SC,Supreme Court of India,2015-03-16,324,48,False,jurisdiction-145-154,sc_145_154,"Ramdev Food Products Private Limited vs State Of Gujarat on 16 March, 2015",kept by the officer incharge of a police station  ( <b>Section</b>  <b>154</b> )            and such entry is called &quot;FIR&quot;.  If from  the  information ... launching   an                     
161365352,SC,Supreme Court of India,2013-04-08,315,38,False,jurisdiction-145-154,sc_145_154,"Amitbhai Anilchandra Shah vs Cbi & Anr on 8 April, 2013",<b>Section</b>  173        CrPC.           20. From the above discussion it follows that under the scheme of  the       provisions of  <b>Sections</b> <b>154</b> ... final  report       under  <b>Sect
1814310,SC,Supreme Court of India,1978-02-16,304,16,False,assessment-126,sc_assess,"Lalla Ram vs Management Of D.C.M. Chemical Works ... on 16 February, 1978","Lalla Ram vs Management Of D.C.M. Chemical Works ... on 16 February, 1978    Equivalent"
14485072,SC,Supreme Court of India,2022-07-27,293,580,True,mensrea-135,sc_theft,"Vijay Madanlal Choudhary vs Union Of India on 27 July, 2022","Vijay Madanlal Choudhary vs Union Of India on 27 July, 2022    Author:  A.M. Khanwilkar"
90225896,SC,Supreme Court of India,2019-10-01,290,74,False,jurisdiction-145-154,sc_145_154,"Union Of India vs The State Of Maharashtra on 1 October, 2019",<b>Section</b> <b>154</b>(1) needs to be given its ordinary        meaning of being of “mandatory” character. The provisions of        <b>Section</b> <b>154</b> ... subordinate to him in the manner pr
521920,SC,Supreme Court of India,2006-10-12,289,26,False,jurisdiction-145-154,sc_145_154,"Lallan Chaudhary & Ors vs State Of Bihar & Anr on 12 October, 2006",Police in respect of the aforesaid  <b>sections</b> of law and committed grave miscarriage of justice.   	 <b>Section</b> <b>154</b>  Cr.P.C. reads:   &quot;<b>154</b> ... charge of the police station
38073485,SC,Supreme Court of India,2015-08-20,249,70,False,appeal-127,sc_127,"Commnr.,Central Excise & Customs, ... vs M/S. Larsen & Toubro Ltd on 20 August, 2015","Commnr.,Central Excise &amp; Customs, ... vs M/S. Larsen &amp; Toubro Ltd on 20 August"
116992,SC,Supreme Court of India,2006-02-21,245,10,False,jurisdiction-145-154,sc_145_154,"Ramesh Kumari vs State (N.C.T. Of Delhi) And Ors on 21 February, 2006",case has been registered in terms of the mandatory provisions of  <b>Section</b> <b>154</b>(1)  of the Criminal Procedure Code. Genuineness or otherwise ... subordinate to him in the manner provided b
395434,SC,Supreme Court of India,2010-03-15,239,155,True,appeal-127,sc_127,"Ptc India Ltd vs Central <b>Electricity</b> Reg. Comm. ... on 15 March, 2010","National <b>Electricity</b> Policy, National <b>Electricity</b> Plan and tariff policy published under  <b>section</b> 3 .                         PART XI       APPELLATE TRIBUNAL FOR <b>ELECTRICITY</"
127517806,SC,Supreme Court of India,2018-09-26,238,661,False,assessment-126|mensrea-135,sc_assess|sc_theft,"Justice K.S.Puttaswamy(Retd) vs Union Of India on 26 September, 2018","Justice K.S.Puttaswamy(Retd) vs Union Of India on 26 September, 2018    Equivalent citations"
116653184,SC,Supreme Court of India,2012-12-13,232,41,False,jurisdiction-145-154,sc_145_154,"Anju Chaudhary vs State Of U.P.& Anr on 13 December, 2012",Court explained that an information given under sub-<b>Section</b> (1) of  <b>Section</b> <b>154</b> of the Code is commonly known as the First  Information ... statement  under <b>Section</b> 162 of 
744830,SC,Supreme Court of India,1976-11-02,230,219,False,126v135,sc_core,"Maharaj Singh vs State Of Uttar Pradesh & Others on 2 November, 1976","Maharaj Singh vs State Of Uttar Pradesh &amp; Others on 2 November, 1976    Equivalent citations"
